,TCGA-OL-A5D6-01A-21R-A27Q-07,TCGA-AN-A0FT-01A-11R-A034-07,TCGA-B6-A0RH-01A-21R-A115-07
ENSG00000000003.15,1417,2606,1970
ENSG00000000005.6,2,20,0
ENSG00000000419.13,1138,4366,2926
ENSG00000000457.14,904,1138,1822
ENSG00000000460.17,233,178,858
ENSG00000000938.13,545,358,389
ENSG00000000971.16,2117,2523,3699
ENSG00000001036.14,1557,5387,5768
ENSG00000001084.13,3418,1039,1660
ENSG00000001167.14,2220,2292,6078
ENSG00000001460.18,490,728,1055
ENSG00000001461.17,1695,1804,1570
ENSG00000001497.18,2453,2648,3686
ENSG00000001561.7,275,836,452
ENSG00000001617.12,3706,16197,9036
ENSG00000001626.16,15,2,30
ENSG00000001629.10,2640,2343,2985
ENSG00000001630.17,132,4,36
ENSG00000001631.16,223,340,319
ENSG00000002016.18,305,529,186
ENSG00000002079.14,16,11,6
ENSG00000002330.14,544,143,876
ENSG00000002549.12,3415,2526,10451
ENSG00000002586.20,22650,12368,23066
ENSG00000002586.20_PAR_Y,0,0,0
ENSG00000002587.10,251,308,273
ENSG00000002726.21,39,19143,12
ENSG00000002745.13,3,1,5
ENSG00000002746.15,39,14,85
ENSG00000002822.15,12,13,7
ENSG00000002834.18,10329,11799,10564
ENSG00000002919.15,852,963,1141
ENSG00000002933.9,782,11234,1675
ENSG00000003056.8,2547,1073,3483
ENSG00000003096.14,902,223,334
ENSG00000003137.8,117,184,119
ENSG00000003147.19,1691,5708,4734
ENSG00000003249.15,2637,10381,4316
ENSG00000003393.15,852,967,1710
ENSG00000003400.15,1041,535,553
ENSG00000003402.20,3671,2956,5467
ENSG00000003436.16,784,1491,647
ENSG00000003509.16,415,520,667
ENSG00000003756.17,2673,3373,2984
ENSG00000003987.14,56,76,67
ENSG00000003989.18,11171,17682,1433
ENSG00000004059.11,5831,8155,8954
ENSG00000004139.14,115,211,308
ENSG00000004142.12,4323,29843,10238
ENSG00000004399.13,9812,8540,9906
ENSG00000004455.17,4839,5766,12989
ENSG00000004468.13,105,49,258
ENSG00000004478.8,13272,20041,8073
ENSG00000004487.17,4236,3830,10429
ENSG00000004534.15,2818,4206,3961
ENSG00000004660.15,545,333,743
ENSG00000004700.16,921,282,786
ENSG00000004766.17,867,643,1238
ENSG00000004776.13,76,96,82
ENSG00000004777.18,286,225,404
ENSG00000004779.10,2574,2951,4803
ENSG00000004799.8,1260,885,206
ENSG00000004809.14,6,1,9
ENSG00000004838.14,169,1551,1148
ENSG00000004846.16,9,3,2
ENSG00000004848.8,16,102,18
ENSG00000004864.14,1597,1165,2091
ENSG00000004866.22,1030,1192,3380
ENSG00000004897.12,1521,1762,2889
ENSG00000004939.15,2,0,1
ENSG00000004948.16,13,7,3
ENSG00000004961.15,896,862,1560
ENSG00000004975.12,1127,1226,1614
ENSG00000005001.10,639,1483,594
ENSG00000005007.13,7214,3820,8188
ENSG00000005020.13,1678,727,612
ENSG00000005022.6,12365,8246,16122
ENSG00000005059.16,522,1011,1205
ENSG00000005073.6,226,91,57
ENSG00000005075.15,1342,3579,2985
ENSG00000005100.13,720,918,928
ENSG00000005102.14,80,117,6
ENSG00000005108.16,214,359,60
ENSG00000005156.12,995,720,1552
ENSG00000005175.10,1088,1977,1516
ENSG00000005187.12,170,50,25
ENSG00000005189.20,317,227,659
ENSG00000005194.15,1187,2326,3051
ENSG00000005206.17,3215,1895,3124
ENSG00000005238.20,1279,1682,1274
ENSG00000005243.10,742,1297,1613
ENSG00000005249.13,3158,701,944
ENSG00000005302.19,1658,1214,2091
ENSG00000005339.15,4085,4032,5352
ENSG00000005379.17,248,886,702
ENSG00000005381.8,5,4,16
ENSG00000005421.9,13,73,6
ENSG00000005436.14,588,490,1075
ENSG00000005448.17,262,683,1491
ENSG00000005469.12,4742,720,2041
ENSG00000005471.19,61,153,122
ENSG00000005483.21,1847,3859,4731
ENSG00000005486.17,10437,6578,7657
ENSG00000005513.10,146,53,14
ENSG00000005700.15,1532,4465,3470
ENSG00000005801.18,761,955,1285
ENSG00000005810.18,9872,1617,3015
ENSG00000005812.11,2538,2283,3427
ENSG00000005844.19,490,1116,663
ENSG00000005882.12,427,516,644
ENSG00000005884.18,2566,4865,4181
ENSG00000005889.16,1148,1470,3645
ENSG00000005893.16,7632,23274,15256
ENSG00000005961.19,24,12,33
ENSG00000005981.13,5,1,5
ENSG00000006007.12,4337,2694,5554
ENSG00000006015.18,2119,677,1461
ENSG00000006016.11,141,212,421
ENSG00000006025.12,651,667,294
ENSG00000006042.12,1260,498,2080
ENSG00000006047.13,127,1155,118
ENSG00000006059.4,0,14,6
ENSG00000006062.17,682,277,493
ENSG00000006071.15,511,348,732
ENSG00000006116.4,0,0,0
ENSG00000006118.15,20058,7279,9053
ENSG00000006125.18,5762,9902,11123
ENSG00000006128.12,1,2,4
ENSG00000006194.10,1491,1473,1574
ENSG00000006210.7,2837,1040,4159
ENSG00000006282.21,1207,3395,3673
ENSG00000006283.18,23,9,40
ENSG00000006327.14,3649,4829,5010
ENSG00000006377.11,6,6,19
ENSG00000006432.15,589,436,841
ENSG00000006451.8,3741,4601,6061
ENSG00000006453.14,2782,623,1673
ENSG00000006459.11,1478,1844,1921
ENSG00000006468.14,614,307,765
ENSG00000006530.18,1307,1351,1996
ENSG00000006534.16,901,1558,693
ENSG00000006555.11,666,278,1488
ENSG00000006576.16,937,1349,1046
ENSG00000006606.9,14,18,39
ENSG00000006607.14,936,1169,904
ENSG00000006611.17,4,0,5
ENSG00000006625.18,3418,10504,5808
ENSG00000006634.8,361,542,956
ENSG00000006638.13,336,266,207
ENSG00000006652.15,398,434,421
ENSG00000006659.13,8,0,4
ENSG00000006695.12,379,1143,561
ENSG00000006704.11,1395,2008,3798
ENSG00000006712.15,3707,6096,5332
ENSG00000006715.16,1651,4084,2207
ENSG00000006740.17,510,142,674
ENSG00000006744.19,3072,4309,3650
ENSG00000006747.15,334,258,2463
ENSG00000006756.16,6491,4717,7339
ENSG00000006757.12,1486,1610,2736
ENSG00000006788.14,25,12,41
ENSG00000006831.10,3186,4413,4788
ENSG00000006837.12,14,39,34
ENSG00000007001.13,4,0,5
ENSG00000007038.11,14,19,8
ENSG00000007047.15,1801,2734,3627
ENSG00000007062.12,375,98,152
ENSG00000007080.11,3158,3343,3694
ENSG00000007129.18,42,64,15
ENSG00000007168.14,3555,3922,4247
ENSG00000007171.18,184,71,27
ENSG00000007174.18,20,11,5
ENSG00000007202.15,3422,19905,6890
ENSG00000007216.15,10,307,49
ENSG00000007237.19,2420,1250,1313
ENSG00000007255.10,1990,2099,2416
ENSG00000007264.15,217,74,714
ENSG00000007306.15,169,86,52
ENSG00000007312.13,75,82,56
ENSG00000007314.12,163,186,16
ENSG00000007341.19,376,352,606
ENSG00000007350.17,2,3,3
ENSG00000007372.24,21,1,49
ENSG00000007376.8,1644,2104,2144
ENSG00000007384.15,2244,5103,3123
ENSG00000007392.17,1434,3951,2144
ENSG00000007402.12,122,1648,731
ENSG00000007516.14,44,1588,243
ENSG00000007520.4,1582,1394,2044
ENSG00000007541.17,5266,4167,3933
ENSG00000007545.16,1200,948,1121
ENSG00000007866.22,1936,3463,2962
ENSG00000007908.16,111,890,89
ENSG00000007923.16,1557,705,1699
ENSG00000007933.13,264,99,342
ENSG00000007944.15,1618,1592,1918
ENSG00000007952.18,26,158,89
ENSG00000007968.7,299,261,560
ENSG00000008018.9,4421,12876,18299
ENSG00000008056.14,40,27,51
ENSG00000008083.14,1696,2143,2068
ENSG00000008086.13,1273,545,624
ENSG00000008118.10,10,30,16
ENSG00000008128.23,81,66,95
ENSG00000008130.15,4746,1786,4414
ENSG00000008196.13,20473,1,18817
ENSG00000008197.5,0,0,0
ENSG00000008226.20,47,262,40
ENSG00000008256.16,3094,1246,2417
ENSG00000008277.14,634,201,150
ENSG00000008282.9,4465,3916,6060
ENSG00000008283.16,17756,8176,17080
ENSG00000008294.21,3002,2420,3090
ENSG00000008300.17,1202,3090,244
ENSG00000008311.15,313,342,285
ENSG00000008323.15,236,844,699
ENSG00000008324.12,793,1836,2094
ENSG00000008382.16,781,632,562
ENSG00000008394.13,17032,15849,8060
ENSG00000008405.12,1258,1139,1149
ENSG00000008438.5,5,0,0
ENSG00000008441.18,3224,3026,3554
ENSG00000008513.16,2650,8884,6410
ENSG00000008516.17,45,722,69
ENSG00000008517.18,1146,2374,1885
ENSG00000008710.20,2333,875,1354
ENSG00000008735.14,690,983,7954
ENSG00000008838.20,2191,7835,11694
ENSG00000008853.17,931,1248,670
ENSG00000008869.12,1747,1487,1717
ENSG00000008952.17,5402,14335,13414
ENSG00000008988.11,29764,69590,102488
ENSG00000009307.16,28807,20733,39592
ENSG00000009335.18,5575,2941,5850
